rank,Youtuber,subscribers,video views,Title,uploads,Country,channel_type,video_views_rank,country_rank,channel_type_rank,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,created_year,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
944,morgz,12600000,3303595310.0,morgz,825,united kingdom,entertainment,2491.0,32.0,170.0,14700.0,235400.0,176500.0,2800000.0,2014.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
960,parafernalha,12500000,4625777945.0,parafernalha,1888,brazil,entertainment,1532.0,54.0,171.0,1800.0,28600.0,21500.0,343600.0,2011.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
969,ckm,12500000,4465772496.0,ckm,117,india,comedy,1621.0,123.0,42.0,3300.0,52600.0,39400.0,630800.0,2018.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
967,wave music bhakti,12500000,5146004207.0,wave music bhakti,19899,india,music,1299.0,123.0,149.0,2800.0,44300.0,33200.0,531800.0,2011.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
965,flowers comedy,12500000,11691081301.0,flowers comedy,11907,india,entertainment,337.0,122.0,170.0,45000.0,720100.0,540100.0,8600000.0,2015.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
964,zee tamil,12500000,11552190002.0,zee tamil,102699,india,entertainment,342.0,123.0,171.0,87500.0,1400000.0,1000000.0,16800000.0,2008.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
963,family fitness,12500000,10384848759.0,family fitness,1699,india,entertainment,413.0,123.0,171.0,58900.0,942900.0,707100.0,11300000.0,2017.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
962,elcarteldesantatv,12500000,7489455451.0,elcarteldesantatv,377,mexico,entertainment,743.0,33.0,171.0,29000.0,463500.0,347600.0,5600000.0,2008.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
961,ndtv,12500000,4935793409.0,ndtv,151136,india,news,1395.0,123.0,24.0,14600.0,234100.0,175600.0,2800000.0,2006.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
966,mundo bita,12500000,16690788752.0,mundo bita,253,brazil,music,171.0,54.0,149.0,53400.0,854800.0,641100.0,10300000.0,2011.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
958,bebefinn - nursery rhymes & kids songs,12500000,4163639093.0,bebefinn - nursery rhymes & kids songs,322,united states,entertainment,1794.0,175.0,171.0,0.0,0.0,0.0,0.0,2022.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
953,health time,12500000,1002219689.0,health time,1810,india,people,11667.0,123.0,62.0,349.0,5600.0,4200.0,66900.0,2016.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
957,mï¿½ï¿½ï¿½ï¿½,12500000,3140883140.0,mï¿½ï¿½ï¿½ï¿½,766,mexico,entertainment,2691.0,33.0,171.0,7800.0,124000.0,93000.0,1500000.0,2015.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
950,people vs food,12500000,1136534702.0,people vs food,601,united states,entertainment,9980.0,175.0,171.0,3800.0,61400.0,46000.0,736300.0,2013.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
951,wolfoo family,12500000,161254021.0,wolfoo family,61,united states,film,81750.0,175.0,46.0,0.0,0.0,0.0,0.0,2019.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
949,colinfurze,12500000,1612094871.0,colinfurze,385,united kingdom,entertainment,6487.0,33.0,171.0,2100.0,33900.0,25400.0,407200.0,2006.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
954,yair17,12500000,1402042328.0,yair17,1109,mexico,games,7741.0,33.0,68.0,2200.0,35500.0,26600.0,425700.0,2014.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
955,little baby bum en espaï¿½ï,12500000,6956320454.0,little baby bum en espaï¿½ï,1459,spain,education,843.0,19.0,46.0,4100.0,65300.0,49000.0,783300.0,2014.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
956,first we feast,12500000,2983799729.0,first we feast,1076,united states,entertainment,2892.0,175.0,171.0,27800.0,445000.0,333800.0,5300000.0,2014.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
981,zee kids,12400000,7683670251.0,zee kids,1212,india,entertainment,709.0,124.0,172.0,23800.0,380700.0,285500.0,4600000.0,2012.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
990,migos atl,12400000,6993406259.0,migos atl,99,united states,entertainment,833.0,175.0,171.0,12400.0,197600.0,148200.0,2400000.0,2012.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
989,caylus,12400000,4779139505.0,caylus,1340,united states,games,1442.0,175.0,68.0,44400.0,710400.0,532800.0,8500000.0,2016.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
988,avril lavigne,12400000,6202090191.0,avril lavigne,205,united states,music,999.0,176.0,150.0,12500.0,200800.0,150600.0,2400000.0,2005.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
985,bharatzkitchen hindi,12400000,2315226648.0,bharatzkitchen hindi,729,india,howto,4042.0,124.0,38.0,7700.0,123900.0,92900.0,1500000.0,2016.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
984,monilina,12400000,16086808918.0,monilinafamily,0,united states,people,4057944.0,2774.0,2499.0,0.0,0.0,0.0,0.0,2016.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
983,disneychanneluk,12400000,12607488647.0,disneychanneluk,4422,united kingdom,entertainment,306.0,34.0,172.0,8700.0,139000.0,104300.0,1700000.0,2007.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
982,pari's lifestyle,12400000,7741764747.0,pari's lifestyle,459,india,people,702.0,124.0,63.0,9500.0,152700.0,114500.0,1800000.0,2018.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
978,timba vk,12400000,2840137980.0,timba vk,1024,spain,games,3116.0,19.0,68.0,6000.0,96100.0,72100.0,1200000.0,2012.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
980,danirep | +6 vï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,12400000,6933660906.0,danirep | +6 vï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,12419,spain,games,847.0,19.0,68.0,20700.0,330600.0,247900.0,4000000.0,2012.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
979,heidi and zidane hzhtube,12400000,4021409291.0,heidi and zidane hzhtube,813,canada,entertainment,1900.0,14.0,172.0,2400.0,38400.0,28800.0,460600.0,2015.0,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771
977,saaihalilintar,12400000,1113066203.0,saaihalilintar,409,indonesia,entertainment,10271.0,34.0,172.0,202.0,3200.0,2400.0,38700.0,2012.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
976,gustavo parï¿½ï¿½,12400000,2602614088.0,gustavoparodias,9,brazil,comedy,4050768.0,5075.0,4894.0,0.0,0.0,0.0,0.0,2010.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
975,gibby :),12400000,2862685032.0,gibby :),226,mexico,people,3087.0,34.0,63.0,2600.0,41100.0,30800.0,493300.0,2014.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
974,loud,12400000,2394143260.0,watchloud,690,united states,entertainment,186431.0,1795.0,1759.0,7.0,110.0,83.0,1300.0,2006.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
972,dev ke facts,12400000,1971226335.0,dev ke facts,218,india,education,5034.0,124.0,47.0,68400.0,1100000.0,821000.0,13100000.0,2012.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
971,_vector_,12400000,7597013023.0,_vector_,398,united states,comedy,720.0,176.0,43.0,225900.0,3600000.0,2700000.0,43400000.0,2019.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
991,natan por aï¿,12300000,9029609749.0,natan por aï¿,1200,brazil,entertainment,525.0,55.0,172.0,138100.0,2200000.0,1700000.0,26500000.0,2017.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
992,free fire india official,12300000,1674409945.0,free fire india official,1500,india,games,6141.0,125.0,69.0,16200.0,258900.0,194200.0,3100000.0,2018.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
993,panda,12300000,2214684303.0,hybridpanda,2452,united kingdom,games,129005.0,867.0,1202.0,17.0,268.0,201.0,3200.0,2006.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
994,robtopgames,12300000,374123483.0,robtopgames,39,sweden,games,35112.0,4.0,69.0,968.0,15500.0,11600.0,185800.0,2012.0,67.0,10285453.0,6.48,9021165.0,60.128161,18.643501
995,make joke of,12300000,2129773714.0,make joke of,62,india,comedy,4568.0,125.0,44.0,6000.0,96000.0,72000.0,1200000.0,2017.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
